,0,1
0,0.7760292,0.35927528
1,0.20328093,0.42621654
2,0.7634932,0.36364347
3,0.42409074,0.46217558
4,0.44895992,0.4732381
5,0.3770612,0.5675601
6,0.76363873,0.36353973
7,0.16162926,0.24447021
8,0.71965086,0.5207637
9,0.35352826,0.42472735
10,0.95823014,0.31204665
11,0.5414739,0.66703004
12,0.6447178,0.5101778
13,0.5684867,0.32263228
14,0.06093496,0.3418181
15,0.32521287,0.7495922
16,0.22749925,0.38993824
17,0.19658831,0.68500495
18,0.22114256,0.40434718
19,0.3647322,0.19648018
20,0.3420887,0.39162517
21,0.36776572,0.19611692
22,0.5481092,0.23777147
23,0.578822,0.3087973
24,0.20644403,0.21250737
25,0.710587,0.035572052
26,0.4235291,0.2618156
27,0.5057479,0.170647
28,0.5160741,0.031871736
29,0.9372071,0.33906132
30,0.15211701,0.26913995
31,0.4277762,0.3022502
32,0.7432272,0.3709343
33,0.70317847,0.11736488
34,0.42108127,0.24928513
35,0.8813267,0.43011668
36,0.48671553,0.28185546
37,0.4811188,0.27885073
38,0.34208283,0.2842484
39,0.44711542,0.17791289
40,0.15079674,0.48582336
41,0.65336585,0.4746973
42,0.3940293,0.6341449
43,0.49940062,0.8845324
44,0.628369,0.47546008
45,0.18243214,0.4857769
46,0.5308129,0.35607946
47,0.5178297,0.25812572
48,0.5907636,0.40518835
49,0.6148411,0.5053788
50,0.09835282,0.46333158
51,0.82453644,0.43356103
52,0.81241524,0.62674004
53,0.5003606,0.12533855
54,0.06348008,0.2964501
55,0.68048984,0.47818664
56,0.63389784,0.3154837
57,0.6603694,0.5325886
58,0.5624112,0.4918989
59,0.38464308,0.6057704
60,0.8247872,0.5225194
61,0.29049206,0.35307238
62,0.63912374,0.023602068
63,0.69488764,0.75381964
64,0.51889825,0.26695973
65,0.7110126,0.7603488
66,0.679006,0.33644703
67,0.6534482,0.4913611
68,0.6439693,0.41624877
69,0.6034956,0.6581609
70,0.5956241,0.64797306
71,0.6022704,0.65727276
72,0.15181884,0.634361
73,0.36021298,0.4909472
74,0.545808,0.5813092
75,0.19451237,0.2748837
76,0.2697469,0.45846698
77,0.13446498,0.37696958
78,0.556826,0.49493682
79,0.34839225,0.19652247
80,0.40033466,0.04613006
81,0.40059316,0.04601538
82,0.17003322,0.34736463
83,0.1076746,0.27736652
84,0.55925757,0.6446593
85,0.5585257,0.6435645
86,0.11880162,0.34000313
87,0.7986613,0.6125622
88,0.79852927,0.6124215
89,0.55102944,0.45283654
90,0.5943076,0.4729088
91,0.6651253,0.78374004
92,0.11585426,0.36443138
93,0.0,0.3046573
94,1.847744e-06,0.30465752
95,0.29844695,0.38155508
96,0.1546961,0.37619498
97,0.7808789,0.31162918
98,0.65198195,0.6493439
99,0.6529482,0.6484931
100,0.60770154,0.47062027
101,0.56440693,0.35080934
102,0.57492185,0.72671926
103,0.85358346,0.3500179
104,0.41971168,0.26443237
105,0.56518435,0.32738644
106,0.81799173,0.41944343
107,0.304602,0.5341744
108,0.22423235,0.6111626
109,0.7435419,0.45662645
110,0.59350646,0.3617185
111,0.36005592,0.30957162
112,0.16558176,0.3546655
113,0.44477975,0.3145472
114,0.44927695,0.31958562
115,0.5449036,0.5633259
116,0.5510468,0.4815501
